source_type,source_label,phone_feedback_topic,feedback_text,like_count,reply_count,video_time,video_time_label,sentiment_label,sentiment_score,rank_order
comment,评论,价格购买,买到iPhone17Pro了,8036.0,85.0,,,中性,0.4824,1
comment,评论,价格购买,在8000元左右的价格带上 长期缺少单摄像头 小容量电池 单扬声器无立体声的机型 iPhone Air填补了这一市场空白,2603.0,81.0,,,正向,0.8178,2
comment,评论,价格购买,库克还是刀法精准 砍了plus 今年标准版全面升级 要是留着plus 肯定也得跟着升级 那就会挤压Pro系列的销量 虽然之前16plus销量不行 但是如果今年全面提升之后plus应该会卖的不错 起码对我这种喜欢大屏加大电池并且不在乎摄影的用户来说 plus真的是量身定做 可惜了,2481.0,47.0,,,正向,0.8152,3
comment,评论,外观设计,为了打入平壤市场 苹果推出了今日橙配色,3332.0,34.0,,,正向,0.8324,1
comment,评论,外观设计,最大赢家可能就是17标准版了 本以为用了铝合金边框和pro的一体开模 背板能差挺大散热 结果和17pro有来有回和MAX差2度 连散热这一块都没有产生太大的区分差 赢麻了,885.0,12.0,,,负向,0.0002,2
comment,评论,外观设计,真有人觉得17比16好看吗,786.0,124.0,,,中性,0.4103,3
comment,评论,屏幕手感,不懂就问 promax比pro只贵1000块钱 然而更大的屏幕和更大的电池带来的体验提升 显然大于256g存储 所以如果都花了10000买pro了 难道在乎再多花1000换来更大的屏幕和电池么 所以pro难道不是最积累的型号么 单纯的想问问 买pro的会是什么考虑 比如不喜欢太重,1009.0,287.0,,,负向,0.0001,1
comment,评论,屏幕手感,意思是60Hz屏幕库存没了 c口还没用完是吧,73.0,3.0,,,负向,0.0805,2
comment,评论,屏幕手感,在薄手机里面国内已经有很多厂商做过了 苹果六也是薄的 但是在我的刻板印象里面薄手机除了手感好一点 打字稍微快一点有没有太大的好处了 而且苹果 出了这个Air唯一的作用就是凸显pro和标准版的性价比一个手机轻20克重20克有什么本质差别 厚2毫米和薄2毫米有什么本质区别 还有人说不在乎续航 自己有充电宝有备用机 都要带2台手机加充电宝出门了 轻薄了个寂寞,34.0,24.0,,,正向,0.6704,3
comment,评论,影像相机,每年iPhone的首发评测 影像看影视飓风 芯片看极客湾 其他UP都是图一乐,7302.0,289.0,,,中性,0.4286,1
comment,评论,影像相机,这才是应该有的视频氛围 弹幕没有冷嘲热讽 评论没有两边对立 只是关注产品本身以及给我们带来的意义 手机测评向来不只是跑分拍照这些数字比较 每年都有新手机 这些最终只不过是数字 最重要的是记录下产品背后我们对科技进步的骄傲与喜悦,1910.0,60.0,,,正向,1.0,2
comment,评论,影像相机,手机厂对摄影这块营销真是罪大恶极 前有华为4 9裁到9 8称光学变焦 后有17PM融合变焦4倍变8倍称光学焦段,1722.0,55.0,,,正向,0.9036,3
comment,评论,性能散热,今年换铝合金 导热性能比上代提升20倍 明年换钛合金 硬度比上代提升10倍 后年换铝合金 导热性能比上代提升20倍,11723.0,106.0,,,正向,0.8994,1
comment,评论,性能散热,今年换铝合金 导热性能比上代提升20倍 明年换钛合金 硬度比上代提升10倍 后年换铝合金 导热性能比上代提升20倍,68.0,2.0,,,正向,0.8994,2
comment,评论,性能散热,17时代我仍然说15Pro是最甜点的机子了 有非常合适的3倍 a17pro 这颗绝不落伍的芯片 也可以适配Apple Intelligence 非常好用,51.0,14.0,,,正向,0.9727,3
comment,评论,竞品对比,我身边的苹果用户都是一台苹果 一台安卓,2706.0,189.0,,,正向,0.9941,1
comment,评论,竞品对比,我室友去年换新的苹果 我才知道 很多人都是分期买大果手机,584.0,102.0,,,负向,0.2481,2
